Id,Mass_Touch__c
a00Dp000008TtwLIAS,1
a00Dp000008TtwKIAS,1
a00Dp000008U07AIAS,1
a00Dp000008U06XIAS,1
a00Dp000008TtwJIAS,1
a00Dp000008TtwIIAS,1
a00Dp000008TtwHIAS,1
a00Dp000008U06ZIAS,1
a00Dp000008TtvsIAC,1
a00Dp000008TtvtIAC,1
a00Dp000008TtvuIAC,1
a00Dp000008TtvvIAC,1
a00Dp000008TtvwIAC,1
a00Dp000008TtvxIAC,1
a00Dp000008TtvyIAC,1
a00Dp000008TtvzIAC,1
a00Dp000008Ttw0IAC,1
a00Dp000008Ttw1IAC,1
a00Dp000008Ttw2IAC,1
a00Dp000008Ttw3IAC,1
a00Dp000008Ttw4IAC,1
a00Dp000008Ttw5IAC,1
a00Dp000008Ttw6IAC,1
a00Dp000008Ttw7IAC,1
a00Dp000008Ttw8IAC,1
a00Dp000008Ttw9IAC,1
a00Dp000008TtwAIAS,1
a00Dp000008TtwBIAS,1
a00Dp000008TtwCIAS,1
a00Dp000008TtwDIAS,1
a00Dp000008TtwEIAS,1
a00Dp000008TtwFIAS,1
a00Dp000008TtwGIAS,1
a00Dp000008U0nPIAS,1
a00Dp000008U06YIAS,1
a00Dp000008U0TzIAK,1
a00Dp000008U0rcIAC,1
a00Dp000008U0vuIAC,1
a00Dp000008U3PmIAK,1
a00Dp000008U3ZoIAK,1
a00Dp000008U3YRIA0,1
a00Dp000008U63XIAS,1
a00Dp000008U646IAC,1
